_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Rashid Khan,Chennai Super Kings,2nd_innings,5,111,8,9,40,0,0,0,52,3,2,213.46153846153845,37.0,Rashid Khan,Rashid Khan
Rashid Khan,Chennai Super Kings,1st_innings,2,17,2,0,17,0,0,0,15,1,1,113.33333333333333,17.0,Rashid Khan,Rashid Khan
Rashid Khan,Delhi Capitals,2nd_innings,4,14,1,1,11,0,0,0,11,3,1,127.27272727272727,4.666666666666667,Rashid Khan,Rashid Khan
Rashid Khan,Delhi Capitals,1st_innings,3,22,2,1,22,0,0,0,21,2,1,104.76190476190477,11.0,Rashid Khan,Rashid Khan
Rashid Khan,Kolkata Knight Riders,1st_innings,4,42,3,4,34,0,0,0,19,3,1,221.0526315789474,14.0,Rashid Khan,Rashid Khan
Rashid Khan,Kolkata Knight Riders,2nd_innings,1,1,0,0,1,0,0,0,2,0,1,50.0,1.0,Rashid Khan,Rashid Khan
Rashid Khan,Mumbai Indians,1st_innings,4,15,1,0,6,0,0,0,16,2,2,93.75,7.5,Rashid Khan,Rashid Khan
Rashid Khan,Mumbai Indians,2nd_innings,8,92,5,10,79,1,0,0,48,4,4,191.66666666666669,23.0,Rashid Khan,Rashid Khan
Rashid Khan,Punjab Kings,1st_innings,4,7,0,1,6,0,0,0,4,2,2,175.0,3.5,Rashid Khan,Rashid Khan
Rashid Khan,Punjab Kings,2nd_innings,2,3,0,0,3,0,0,0,5,2,0,60.0,1.5,Rashid Khan,Rashid Khan
Rashid Khan,Rajasthan Royals,1st_innings,3,19,1,1,17,0,0,0,12,2,1,158.33333333333331,9.5,Rashid Khan,Rashid Khan
Rashid Khan,Rajasthan Royals,2nd_innings,2,15,1,1,15,0,0,0,10,1,1,150.0,15.0,Rashid Khan,Rashid Khan
Rashid Khan,Rising Pune Supergiant,2nd_innings,1,3,0,0,3,0,0,0,4,1,0,75.0,3.0,Rashid Khan,Rashid Khan
Rashid Khan,Royal Challengers Bangalore,1st_innings,4,28,2,2,19,0,0,0,20,2,2,140.0,14.0,Rashid Khan,Rashid Khan
Rashid Khan,Royal Challengers Bangalore,2nd_innings,2,23,2,1,17,0,0,0,14,2,0,164.28571428571428,11.5,Rashid Khan,Rashid Khan
Rashid Khan,Sunrisers Hyderabad,1st_innings,2,0,0,0,0,0,0,0,2,2,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Sunrisers Hyderabad,2nd_innings,1,31,0,4,31,0,0,0,11,0,1,281.8181818181818,31.0,Rashid Khan,Rashid Khan
MS Dhoni,Delhi Capitals,1st_innings,19,488,29,29,63,3,0,0,318,13,6,153.45911949685535,37.53846153846154,MS Dhoni,MS Dhoni
MS Dhoni,Delhi Capitals,2nd_innings,11,184,14,6,33,0,0,0,169,8,3,108.87573964497041,23.0,MS Dhoni,MS Dhoni
MS Dhoni,Gujarat Lions,1st_innings,3,57,4,3,30,0,0,0,36,1,2,158.33333333333331,57.0,MS Dhoni,MS Dhoni
MS Dhoni,Gujarat Lions,2nd_innings,1,26,1,1,26,0,0,0,33,1,0,78.78787878787878,26.0,MS Dhoni,MS Dhoni
MS Dhoni,Gujarat Titans,1st_innings,3,22,1,1,14,0,0,0,19,2,1,115.78947368421053,11.0,MS Dhoni,MS Dhoni
MS Dhoni,Gujarat Titans,2nd_innings,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,MS Dhoni,MS Dhoni
MS Dhoni,Kochi Tuskers Kerala,1st_innings,2,23,2,1,14,0,0,0,19,1,1,121.05263157894737,23.0,MS Dhoni,MS Dhoni
MS Dhoni,Kolkata Knight Riders,1st_innings,18,416,31,17,66,2,0,0,297,5,13,140.06734006734007,83.2,MS Dhoni,MS Dhoni
MS Dhoni,Kolkata Knight Riders,2nd_innings,9,139,8,5,43,0,0,0,125,8,1,111.20000000000002,17.375,MS Dhoni,MS Dhoni
MS Dhoni,Lucknow Super Giants,1st_innings,2,28,2,3,16,0,0,0,9,1,1,311.11111111111114,28.0,MS Dhoni,MS Dhoni
MS Dhoni,Mumbai Indians,2nd_innings,19,314,20,14,63,2,0,0,257,11,8,122.17898832684826,28.545454545454547,MS Dhoni,MS Dhoni
MS Dhoni,Mumbai Indians,1st_innings,16,434,37,20,51,1,0,0,322,10,6,134.7826086956522,43.4,MS Dhoni,MS Dhoni
MS Dhoni,Pune Warriors India,2nd_innings,1,10,0,0,10,0,0,0,13,1,0,76.92307692307693,10.0,MS Dhoni,MS Dhoni
MS Dhoni,Pune Warriors India,1st_innings,4,125,10,5,45,0,0,0,77,2,2,162.33766233766232,62.5,MS Dhoni,MS Dhoni
MS Dhoni,Punjab Kings,1st_innings,15,316,25,14,60,2,0,0,218,9,6,144.95412844036696,35.111111111111114,MS Dhoni,MS Dhoni
MS Dhoni,Punjab Kings,2nd_innings,10,339,23,21,79,3,0,0,219,4,6,154.7945205479452,84.75,MS Dhoni,MS Dhoni
MS Dhoni,Rajasthan Royals,2nd_innings,9,224,11,10,58,1,0,0,164,5,4,136.58536585365854,44.8,MS Dhoni,MS Dhoni
MS Dhoni,Rajasthan Royals,1st_innings,15,329,20,13,75,1,0,0,263,8,7,125.09505703422053,41.125,MS Dhoni,MS Dhoni
MS Dhoni,Royal Challengers Bangalore,1st_innings,16,351,23,18,70,2,0,0,254,11,5,138.18897637795274,31.90909090909091,MS Dhoni,MS Dhoni
MS Dhoni,Royal Challengers Bangalore,2nd_innings,16,488,28,28,84,2,0,0,342,10,6,142.69005847953215,48.8,MS Dhoni,MS Dhoni
MS Dhoni,Sunrisers Hyderabad,1st_innings,16,404,29,15,58,3,0,0,326,13,3,123.92638036809815,31.076923076923077,MS Dhoni,MS Dhoni
MS Dhoni,Sunrisers Hyderabad,2nd_innings,12,365,31,15,67,2,0,0,258,6,6,141.47286821705427,60.833333333333336,MS Dhoni,MS Dhoni
Michael Klinger,Delhi Capitals,2nd_innings,2,20,3,0,18,0,0,0,26,2,0,76.92307692307693,10.0,M Klinger,Michael Klinger
Michael Klinger,Kolkata Knight Riders,1st_innings,1,29,3,0,29,0,0,0,26,1,0,111.53846153846155,29.0,M Klinger,Michael Klinger
Michael Klinger,Royal Challengers Bangalore,1st_innings,1,24,3,0,24,0,0,0,25,1,0,96.0,24.0,M Klinger,Michael Klinger
Hanuma Vihari,Chennai Super Kings,1st_innings,2,10,1,0,8,0,0,0,8,2,0,125.0,5.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Chennai Super Kings,2nd_innings,1,3,0,0,3,0,0,0,8,1,0,37.5,3.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Delhi Capitals,2nd_innings,2,28,2,1,17,0,0,0,32,1,1,87.5,28.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Kolkata Knight Riders,2nd_innings,4,15,0,0,6,0,0,0,30,4,0,50.0,3.75,GH Vihari,Hanuma Vihari
Hanuma Vihari,Mumbai Indians,2nd_innings,2,41,5,0,25,0,0,0,33,2,0,124.24242424242425,20.5,GH Vihari,Hanuma Vihari
Hanuma Vihari,Mumbai Indians,1st_innings,1,41,4,0,41,0,0,0,37,1,0,110.8108108108108,41.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Pune Warriors India,1st_innings,2,12,1,0,11,0,0,0,20,2,0,60.0,6.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Punjab Kings,2nd_innings,2,48,5,0,46,0,0,0,44,2,0,109.09090909090908,24.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Punjab Kings,1st_innings,2,14,3,0,9,0,0,0,15,2,0,93.33333333333333,7.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Rajasthan Royals,1st_innings,3,24,0,0,19,0,0,0,45,3,0,53.333333333333336,8.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Royal Challengers Bangalore,2nd_innings,1,44,2,0,44,0,0,0,46,0,1,95.65217391304348,44.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Royal Challengers Bangalore,1st_innings,1,4,0,0,4,0,0,0,3,0,1,133.33333333333331,4.0,GH Vihari,Hanuma Vihari
Ankit Soni,Mumbai Indians,1st_innings,1,7,0,1,7,0,0,0,2,0,1,350.0,7.0,Ankit Soni,Ankit Soni
Ankit Soni,Rising Pune Supergiant,1st_innings,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Ankit Soni,Ankit Soni
Ankit Soni,Sunrisers Hyderabad,1st_innings,1,0,0,0,0,0,0,0,6,1,0,0.0,0.0,Ankit Soni,Ankit Soni
Mohnish  Mishra,Chennai Super Kings,2nd_innings,3,32,3,1,21,0,0,0,32,3,0,100.0,10.666666666666666,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Chennai Super Kings,1st_innings,1,2,0,0,2,0,0,0,9,1,0,22.22222222222222,2.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Delhi Capitals,1st_innings,3,33,2,1,25,0,0,0,34,3,0,97.05882352941177,11.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Kochi Tuskers Kerala,2nd_innings,1,37,2,2,37,0,0,0,21,0,1,176.19047619047618,37.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Kolkata Knight Riders,2nd_innings,1,29,6,0,29,0,0,0,16,1,0,181.25,29.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Mumbai Indians,1st_innings,1,12,2,0,12,0,0,0,10,1,0,120.0,12.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Mumbai Indians,2nd_innings,2,18,1,1,13,0,0,0,19,2,0,94.73684210526315,9.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Punjab Kings,2nd_innings,1,20,4,0,20,0,0,0,21,1,0,95.23809523809523,20.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Royal Challengers Bangalore,2nd_innings,2,13,3,0,9,0,0,0,15,2,0,86.66666666666667,6.5,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Royal Challengers Bangalore,1st_innings,2,41,1,3,41,0,0,0,31,2,0,132.25806451612902,20.5,MD Mishra,Mohnish  Mishra
Pragyan Ojha,Chennai Super Kings,1st_innings,3,3,0,0,1,0,0,0,3,0,3,100.0,3.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,Chennai Super Kings,2nd_innings,3,1,0,0,1,0,0,0,8,3,0,12.5,0.3333333333333333,PP Ojha,Pragyan Ojha
Pragyan Ojha,Delhi Capitals,1st_innings,3,6,0,0,3,0,0,0,15,3,0,40.0,2.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,Delhi Capitals,2nd_innings,2,0,0,0,0,0,0,0,3,2,0,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,Kolkata Knight Riders,1st_innings,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,Mumbai Indians,2nd_innings,2,2,0,0,2,0,0,0,2,1,1,100.0,2.0,PP Ojha,Pragyan Ojha
