_id,team_played,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Rashid Khan,Chennai Super Kings,7,128,10,9,40,0,0,0,67,4,3,191.04477611940297,32.0,Rashid Khan,Rashid Khan
Rashid Khan,Delhi Capitals,7,36,3,2,22,0,0,0,32,5,2,112.5,7.2,Rashid Khan,Rashid Khan
Rashid Khan,Kolkata Knight Riders,5,43,3,4,34,0,0,0,21,3,2,204.76190476190476,14.333333333333334,Rashid Khan,Rashid Khan
Rashid Khan,Mumbai Indians,12,107,6,10,79,1,0,0,64,6,6,167.1875,17.833333333333332,Rashid Khan,Rashid Khan
Rashid Khan,Punjab Kings,6,10,0,1,6,0,0,0,9,4,2,111.11111111111111,2.5,Rashid Khan,Rashid Khan
Rashid Khan,Rajasthan Royals,5,34,2,2,17,0,0,0,22,3,2,154.54545454545453,11.333333333333334,Rashid Khan,Rashid Khan
Rashid Khan,Rising Pune Supergiant,1,3,0,0,3,0,0,0,4,1,0,75.0,3.0,Rashid Khan,Rashid Khan
Rashid Khan,Royal Challengers Bangalore,6,51,4,3,19,0,0,0,34,4,2,150.0,12.75,Rashid Khan,Rashid Khan
Rashid Khan,Sunrisers Hyderabad,3,31,0,4,31,0,0,0,13,2,1,238.46153846153845,15.5,Rashid Khan,Rashid Khan
MS Dhoni,Delhi Capitals,30,672,43,35,63,3,0,0,487,21,9,137.9876796714579,32.0,MS Dhoni,MS Dhoni
MS Dhoni,Gujarat Lions,4,83,5,4,30,0,0,0,69,2,2,120.28985507246377,41.5,MS Dhoni,MS Dhoni
MS Dhoni,Gujarat Titans,4,22,1,1,14,0,0,0,20,3,1,110.00000000000001,7.333333333333333,MS Dhoni,MS Dhoni
MS Dhoni,Kochi Tuskers Kerala,2,23,2,1,14,0,0,0,19,1,1,121.05263157894737,23.0,MS Dhoni,MS Dhoni
MS Dhoni,Kolkata Knight Riders,27,555,39,22,66,2,0,0,422,13,14,131.5165876777251,42.69230769230769,MS Dhoni,MS Dhoni
MS Dhoni,Lucknow Super Giants,2,28,2,3,16,0,0,0,9,1,1,311.11111111111114,28.0,MS Dhoni,MS Dhoni
MS Dhoni,Mumbai Indians,35,748,57,34,63,3,0,0,579,21,14,129.18825561312607,35.61904761904762,MS Dhoni,MS Dhoni
MS Dhoni,Pune Warriors India,5,135,10,5,45,0,0,0,90,3,2,150.0,45.0,MS Dhoni,MS Dhoni
MS Dhoni,Punjab Kings,25,655,48,35,79,5,0,0,437,13,12,149.88558352402745,50.38461538461539,MS Dhoni,MS Dhoni
MS Dhoni,Rajasthan Royals,24,553,31,23,75,2,0,0,427,13,11,129.5081967213115,42.53846153846154,MS Dhoni,MS Dhoni
MS Dhoni,Royal Challengers Bangalore,32,839,51,46,84,4,0,0,596,21,11,140.7718120805369,39.95238095238095,MS Dhoni,MS Dhoni
MS Dhoni,Sunrisers Hyderabad,28,769,60,30,67,5,0,0,584,19,9,131.67808219178085,40.473684210526315,MS Dhoni,MS Dhoni
Michael Klinger,Delhi Capitals,2,20,3,0,18,0,0,0,26,2,0,76.92307692307693,10.0,M Klinger,Michael Klinger
Michael Klinger,Kolkata Knight Riders,1,29,3,0,29,0,0,0,26,1,0,111.53846153846155,29.0,M Klinger,Michael Klinger
Michael Klinger,Royal Challengers Bangalore,1,24,3,0,24,0,0,0,25,1,0,96.0,24.0,M Klinger,Michael Klinger
Hanuma Vihari,Chennai Super Kings,3,13,1,0,8,0,0,0,16,3,0,81.25,4.333333333333333,GH Vihari,Hanuma Vihari
Hanuma Vihari,Delhi Capitals,2,28,2,1,17,0,0,0,32,1,1,87.5,28.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Kolkata Knight Riders,4,15,0,0,6,0,0,0,30,4,0,50.0,3.75,GH Vihari,Hanuma Vihari
Hanuma Vihari,Mumbai Indians,3,82,9,0,41,0,0,0,70,3,0,117.14285714285715,27.333333333333332,GH Vihari,Hanuma Vihari
Hanuma Vihari,Pune Warriors India,2,12,1,0,11,0,0,0,20,2,0,60.0,6.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Punjab Kings,4,62,8,0,46,0,0,0,59,4,0,105.08474576271188,15.5,GH Vihari,Hanuma Vihari
Hanuma Vihari,Rajasthan Royals,3,24,0,0,19,0,0,0,45,3,0,53.333333333333336,8.0,GH Vihari,Hanuma Vihari
Hanuma Vihari,Royal Challengers Bangalore,2,48,2,0,44,0,0,0,49,0,2,97.95918367346938,48.0,GH Vihari,Hanuma Vihari
Ankit Soni,Mumbai Indians,1,7,0,1,7,0,0,0,2,0,1,350.0,7.0,Ankit Soni,Ankit Soni
Ankit Soni,Rising Pune Supergiant,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Ankit Soni,Ankit Soni
Ankit Soni,Sunrisers Hyderabad,1,0,0,0,0,0,0,0,6,1,0,0.0,0.0,Ankit Soni,Ankit Soni
Mohnish  Mishra,Chennai Super Kings,4,34,3,1,21,0,0,0,41,4,0,82.92682926829268,8.5,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Delhi Capitals,3,33,2,1,25,0,0,0,34,3,0,97.05882352941177,11.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Kochi Tuskers Kerala,1,37,2,2,37,0,0,0,21,0,1,176.19047619047618,37.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Kolkata Knight Riders,1,29,6,0,29,0,0,0,16,1,0,181.25,29.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Mumbai Indians,3,30,3,1,13,0,0,0,29,3,0,103.44827586206897,10.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Punjab Kings,1,20,4,0,20,0,0,0,21,1,0,95.23809523809523,20.0,MD Mishra,Mohnish  Mishra
Mohnish  Mishra,Royal Challengers Bangalore,4,54,4,3,41,0,0,0,46,4,0,117.3913043478261,13.5,MD Mishra,Mohnish  Mishra
