_id,team_played,venues_played,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Rashid Khan,Chennai Super Kings,"Narendra Modi Stadium, Motera, Ahmedabad",2,10,1,1,10,0,0,0,5,1,1,200.0,10.0,Rashid Khan,Rashid Khan
Rashid Khan,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",1,30,3,2,30,0,0,0,16,1,0,187.5,30.0,Rashid Khan,Rashid Khan
Rashid Khan,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",1,40,2,3,40,0,0,0,21,1,0,190.47619047619045,40.0,Rashid Khan,Rashid Khan
Rashid Khan,Chennai Super Kings,Sharjah Cricket Stadium,1,17,2,0,17,0,0,0,13,0,1,130.76923076923077,17.0,Rashid Khan,Rashid Khan
Rashid Khan,Chennai Super Kings,Dubai International Cricket Stadium,1,14,1,1,14,0,0,0,8,1,0,175.0,14.0,Rashid Khan,Rashid Khan
Rashid Khan,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,17,1,2,17,0,0,0,4,0,1,425.0,17.0,Rashid Khan,Rashid Khan
Rashid Khan,Delhi Capitals,"Narendra Modi Stadium, Motera, Ahmedabad",1,3,0,0,3,0,0,0,2,0,1,150.0,3.0,Rashid Khan,Rashid Khan
Rashid Khan,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Delhi Capitals,Dubai International Cricket Stadium,1,22,2,1,22,0,0,0,19,1,0,115.78947368421053,22.0,Rashid Khan,Rashid Khan
Rashid Khan,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Delhi Capitals,"Sheikh Zayed Stadium, Abu Dhabi",1,11,1,1,11,0,0,0,7,1,0,157.14285714285714,11.0,Rashid Khan,Rashid Khan
Rashid Khan,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Delhi Capitals,"Dr Y S Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Navi Mumbai",1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Kolkata Knight Riders,Dubai International Cricket Stadium,1,8,1,0,8,0,0,0,6,1,0,133.33333333333331,8.0,Rashid Khan,Rashid Khan
Rashid Khan,Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",1,1,0,0,1,0,0,0,2,0,1,50.0,1.0,Rashid Khan,Rashid Khan
Rashid Khan,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Kolkata Knight Riders,"Eden Gardens, Kolkata",1,34,2,4,34,0,0,0,10,0,1,340.0,34.0,Rashid Khan,Rashid Khan
Rashid Khan,Mumbai Indians,"Narendra Modi Stadium, Motera, Ahmedabad",2,7,1,0,5,0,0,0,3,0,2,233.33333333333334,7.0,Rashid Khan,Rashid Khan
Rashid Khan,Mumbai Indians,"Wankhede Stadium, Mumbai",4,87,3,10,79,1,0,0,45,2,2,193.33333333333334,43.5,Rashid Khan,Rashid Khan
Rashid Khan,Mumbai Indians,"Brabourne Stadium, Mumbai",1,1,0,0,1,0,0,0,1,0,1,100.0,1.0,Rashid Khan,Rashid Khan
Rashid Khan,Mumbai Indians,"Sheikh Zayed Stadium, Abu Dhabi",1,9,2,0,9,0,0,0,5,1,0,180.0,9.0,Rashid Khan,Rashid Khan
Rashid Khan,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Mumbai Indians,Sharjah Cricket Stadium,1,3,0,0,3,0,0,0,7,0,1,42.857142857142854,3.0,Rashid Khan,Rashid Khan
Rashid Khan,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,0,0,0,0,0,0,0,2,2,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Punjab Kings,"Dr DY Patil Sports Academy, Navi Mumbai",1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Punjab Kings,Sharjah Cricket Stadium,1,3,0,0,3,0,0,0,4,1,0,75.0,3.0,Rashid Khan,Rashid Khan
Rashid Khan,Punjab Kings,Dubai International Cricket Stadium,2,0,0,0,0,0,0,0,1,1,1,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,7,0,1,6,0,0,0,3,1,1,233.33333333333334,7.0,Rashid Khan,Rashid Khan
Rashid Khan,Rajasthan Royals,"Narendra Modi Stadium, Motera, Ahmedabad",1,1,0,0,1,0,0,0,1,1,0,100.0,1.0,Rashid Khan,Rashid Khan
Rashid Khan,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,15,1,1,15,0,0,0,8,0,1,187.5,15.0,Rashid Khan,Rashid Khan
Rashid Khan,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2,18,1,1,17,0,0,0,11,1,1,163.63636363636365,18.0,Rashid Khan,Rashid Khan
Rashid Khan,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,3,0,0,3,0,0,0,4,1,0,75.0,3.0,Rashid Khan,Rashid Khan
Rashid Khan,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",1,19,1,2,19,0,0,0,6,0,1,316.66666666666663,19.0,Rashid Khan,Rashid Khan
Rashid Khan,Royal Challengers Bangalore,"Sheikh Zayed Stadium, Abu Dhabi",1,7,1,0,7,0,0,0,9,0,1,77.77777777777779,7.0,Rashid Khan,Rashid Khan
Rashid Khan,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",1,17,1,1,17,0,0,0,9,1,0,188.88888888888889,17.0,Rashid Khan,Rashid Khan
Rashid Khan,Royal Challengers Bangalore,Dubai International Cricket Stadium,1,6,1,0,6,0,0,0,5,1,0,120.0,6.0,Rashid Khan,Rashid Khan
Rashid Khan,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",1,1,0,0,1,0,0,0,2,1,0,50.0,1.0,Rashid Khan,Rashid Khan
Rashid Khan,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1,0,0,1,0,0,0,3,1,0,33.33333333333333,1.0,Rashid Khan,Rashid Khan
Rashid Khan,Sunrisers Hyderabad,"Narendra Modi Stadium, Motera, Ahmedabad",1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Navi Mumbai",1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",1,31,0,4,31,0,0,0,11,0,1,281.8181818181818,31.0,Rashid Khan,Rashid Khan
MS Dhoni,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",8,270,16,18,63,2,0,0,163,5,3,165.6441717791411,54.0,MS Dhoni,MS Dhoni
MS Dhoni,Delhi Capitals,"Arun Jaitley Stadium, Delhi",9,186,13,5,44,0,0,0,166,6,3,112.04819277108433,31.0,MS Dhoni,MS Dhoni
MS Dhoni,Delhi Capitals,"Dr DY Patil Sports Academy, Navi Mumbai",1,21,1,2,21,0,0,0,8,0,1,262.5,21.0,MS Dhoni,MS Dhoni
