_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Rashid Khan,"Arun Jaitley Stadium, Delhi",2nd_innings,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,"Brabourne Stadium, Mumbai",2nd_innings,1,1,0,0,1,0,0,0,1,0,1,100.0,1.0,Rashid Khan,Rashid Khan
Rashid Khan,"Dr DY Patil Sports Academy, Navi Mumbai",1st_innings,3,0,0,0,0,0,0,0,4,3,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,"Dr Y S Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1st_innings,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Dubai International Cricket Stadium,1st_innings,3,30,3,1,22,0,0,0,25,2,1,120.0,15.0,Rashid Khan,Rashid Khan
Rashid Khan,Dubai International Cricket Stadium,2nd_innings,3,20,2,1,14,0,0,0,14,3,0,142.85714285714286,6.666666666666667,Rashid Khan,Rashid Khan
Rashid Khan,"Eden Gardens, Kolkata",1st_innings,1,34,2,4,34,0,0,0,10,0,1,340.0,34.0,Rashid Khan,Rashid Khan
Rashid Khan,"M Chinnaswamy Stadium, Bengaluru",1st_innings,1,1,0,0,1,0,0,0,2,1,0,50.0,1.0,Rashid Khan,Rashid Khan
Rashid Khan,"MA Chidambaram Stadium, Chepauk, Chennai",2nd_innings,4,47,4,3,30,0,0,0,27,4,0,174.07407407407408,11.75,Rashid Khan,Rashid Khan
Rashid Khan,"Maharashtra Cricket Association Stadium, Pune",1st_innings,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,"Maharashtra Cricket Association Stadium, Pune",2nd_innings,1,40,2,3,40,0,0,0,21,1,0,190.47619047619045,40.0,Rashid Khan,Rashid Khan
Rashid Khan,"Narendra Modi Stadium, Motera, Ahmedabad",2nd_innings,2,13,1,1,10,0,0,0,5,0,2,260.0,13.0,Rashid Khan,Rashid Khan
Rashid Khan,"Narendra Modi Stadium, Motera, Ahmedabad",1st_innings,5,8,1,0,5,0,0,0,7,3,2,114.28571428571428,2.6666666666666665,Rashid Khan,Rashid Khan
Rashid Khan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2nd_innings,6,35,2,3,17,0,0,0,19,4,2,184.21052631578948,8.75,Rashid Khan,Rashid Khan
Rashid Khan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1st_innings,4,8,0,1,6,0,0,0,7,3,1,114.28571428571428,2.6666666666666665,Rashid Khan,Rashid Khan
Rashid Khan,"Sawai Mansingh Stadium, Jaipur",1st_innings,2,18,1,1,17,0,0,0,11,1,1,163.63636363636365,18.0,Rashid Khan,Rashid Khan
