_id,team_played,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Rashid Khan,"Arun Jaitley Stadium, Delhi",1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,"Brabourne Stadium, Mumbai",1,1,0,0,1,0,0,0,1,0,1,100.0,1.0,Rashid Khan,Rashid Khan
Rashid Khan,"Dr DY Patil Sports Academy, Navi Mumbai",3,0,0,0,0,0,0,0,4,3,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,"Dr Y S Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,Rashid Khan,Rashid Khan
Rashid Khan,Dubai International Cricket Stadium,6,50,5,2,22,0,0,0,39,5,1,128.2051282051282,10.0,Rashid Khan,Rashid Khan
Rashid Khan,"Eden Gardens, Kolkata",1,34,2,4,34,0,0,0,10,0,1,340.0,34.0,Rashid Khan,Rashid Khan
Rashid Khan,"M Chinnaswamy Stadium, Bengaluru",1,1,0,0,1,0,0,0,2,1,0,50.0,1.0,Rashid Khan,Rashid Khan
Rashid Khan,"MA Chidambaram Stadium, Chepauk, Chennai",4,47,4,3,30,0,0,0,27,4,0,174.07407407407408,11.75,Rashid Khan,Rashid Khan
Rashid Khan,"Maharashtra Cricket Association Stadium, Pune",2,40,2,3,40,0,0,0,22,1,1,181.8181818181818,40.0,Rashid Khan,Rashid Khan
Rashid Khan,"Narendra Modi Stadium, Motera, Ahmedabad",7,21,2,1,10,0,0,0,12,3,4,175.0,7.0,Rashid Khan,Rashid Khan
Rashid Khan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",10,43,2,4,17,0,0,0,26,7,3,165.3846153846154,6.142857142857143,Rashid Khan,Rashid Khan
Rashid Khan,"Sawai Mansingh Stadium, Jaipur",2,18,1,1,17,0,0,0,11,1,1,163.63636363636365,18.0,Rashid Khan,Rashid Khan
